"Part";"Value";"Device";"Package";"Description";"PROJECT";"URL1";"URLHOME";"URLPROJECT";
"C1";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C2";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C3";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C4";"220pF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C5";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C6";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C7";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C8";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C9";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C10";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C11";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C12";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C13";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C14";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C15";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"IC1";"MCP3221";"MCP3221";"SOT23-DBV";"12 bit I2C ADC";"";"";"";"";
"IC2";"MCP4017-100K";"MCP4017";"SC70";"I2C digipot";"";"";"";"";
"IC4";"TL072";"LM358D";"SO08@1";"OP AMP also LM158; LM258; LM2904";"";"";"";"";
"IC5";"TPS60400DBV";"TPS60400DBV";"SOT23-DBV";"UNREGULATED CHARGE PUMP VOLTAGE INVERTER";"";"";"";"";
"ISOIC1";"ADUM1250";"ADUM1250";"SO08";"ADUM1250 Bi-Directional I2C Isolation IC";"";"";"";"";
"ISOIC2";"ADUM6010";"ADUM6010";"SSOP20";"ADUM6010 ISO DC-DC power uModule";"";"";"";"";
"J1";"";"TWIG-4P-2.0-2.0";"4P-2.0";"";"";"";"";"";
"JP1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"JP2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"JP5";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"PDIS";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";"";
"R3";"30.9K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R4";"3K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R5";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R6";"50";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R7";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R8";"3K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R9";"100K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R10";"100K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R11";"500";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R12";"3K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R13";"1K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R14";"3K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R15";"3K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"SJ3";"";"SOLDERJUMPER_2WAYPASTE2&3";"SJ_3_PASTE2&3";"Solder Jumper";"";"";"";"";
"T1";"";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";
"TP1";"GNDTP";"TEST-POINTGND";"TEST_GND";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP2";"TEST-POINTVPOSRAIL";"TEST-POINTVPOSRAIL";"TEST_V+";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP3";"TEST-V-";"TEST-POINTNEGRAIL";"TEST_V-";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"Bare copper test points for troubleshooting or ICT";"";"";"";"";
"U$1";"FRAME_ISOION";"FRAME_ISOION";"SWPCBLOGOWITHINFO";"A4 Sparky's Widgets frame";"Iso Ion I2C ISE Interface";"/portfolio-item/isoion-i2c-ise-interface/";"http://www.sparkyswidgets.com";"http://www.sparkyswidgets.com";
"U$2";"BNCPTH";"BNCPTH";"BNC";"BNC Connector, Mouser Part# 5227161";"";"";"";"";
"U$3";"CC-BY-SA";"CC-BY-SA";"CC-BY-SA";"";"";"";"";"";
"U$6";"REF3130";"MCP1541";"SOT-23";"";"";"";"";"";
