Part,Value,Device,Package,Description
C1,.1uF,CAP0805,0805,Capacitor
C2,1uF,CAP0805,0805,Capacitor
C3,1uF,CAP0805,0805,Capacitor
C4,1uF,CAP0805,0805,Capacitor
C5,100nF,CAP0805,0805,Capacitor
C6,100nF,CAP0805,0805,Capacitor
C7,1uF,CAP0805,0805,Capacitor
C8,100nF,CAP0805,0805,Capacitor
D1,MBR0540TP,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER
D2,4148,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER
D3,4148,MBR0520LT,SOD123,SCHOTTKY BARRIER RECTIFIER
ECPROBE1,BNCPTH,BNCPTH,BNC,"BNC Connector, Mouser Part# 5227161"
IC1,MCP3221,MCP3221,SOT23-DBV,12 bit I2C ADC
IC5,TPS60400DBV,TPS60400DBV,SOT23-DBV,UNREGULATED CHARGE PUMP VOLTAGE INVERTER
J1,,TWIG-4P-2.0-2.0,4P-2.0,
JP1,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off
JP2,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off
JP3,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off
JP4,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off
JP5,,M04PTH,1X04,Header 4
R1,3K,RESISTOR0805-RES,0805,Resistor
R2,3K,RESISTOR0805-RES,0805,Resistor
R3,1K,RESISTOR0805-RES,0805,Resistor
R4,10K,RESISTOR0805-RES,0805,Resistor
R5,22K,RESISTOR0805-RES,0805,Resistor
R6,1K,RESISTOR0805-RES,0805,Resistor
R7,1K,RESISTOR0805-RES,0805,Resistor
R8,1K,RESISTOR0805-RES,0805,Resistor
R9,1K,RESISTOR0805-RES,0805,Resistor
R10,10K,RESISTOR0805-RES,0805,Resistor
TL074,TL074,QUADOPAMPM,SO14,"Quad General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers"
